State wise seat won and valid votes polled by political party,,,,,,,
State Name,Party Type,Party Name,Total Valid Votes Polled in the State,Total Electors in the State,Seats Won,Total Valid Votes Polled by Party,% Valid Votes Polled by Party
Andhra Pradesh,N,Bahujan Samaj Party,31143712,39405967,0,83613,0.27
Andhra Pradesh,N,Bharatiya Janata Party,31143712,39405967,0,303985,0.98
Andhra Pradesh,N,Communist Party of India,31143712,39405967,0,26536,0.09
Andhra Pradesh,N,Communist Party of India  (Marxist),31143712,39405967,0,37895,0.12
Andhra Pradesh,N,Indian National Congress,31143712,39405967,0,406977,1.31
Andhra Pradesh,S,All India Forward Bloc,31143712,39405967,0,1687,0.01
Andhra Pradesh,S,Indian Union Muslim League,31143712,39405967,0,2387,0.01
Andhra Pradesh,S,Samajwadi Party,31143712,39405967,0,6753,0.02
Andhra Pradesh,S,Telugu Desam,31143712,39405967,3,12515345,40.19
Andhra Pradesh,S,Yuvajana Sramika Rythu Congress Party,31143712,39405967,22,15537006,49.89
Andhra Pradesh,U,All India Praja Party,31143712,39405967,0,2023,0.01
Andhra Pradesh,U,All Peoples Party,31143712,39405967,0,370,
Andhra Pradesh,U,Ambedkar National Congress,31143712,39405967,0,1510,
Andhra Pradesh,U,Ambedkarite Party of India,31143712,39405967,0,1757,0.01
Andhra Pradesh,U,Andhra Chaitanya Party,31143712,39405967,0,1263,
Andhra Pradesh,U,Andhra Rastra Praja Samithi,31143712,39405967,0,1563,0.01
Andhra Pradesh,U,Anna YSR Congress Party,31143712,39405967,0,5511,0.02
Andhra Pradesh,U,B. C. United Front,31143712,39405967,0,649,
Andhra Pradesh,U,Bahujan Maha Party,31143712,39405967,0,1017,
Andhra Pradesh,U,Communist Party of India  (Marxist-Leninist)  (Liberation),31143712,39405967,0,4440,0.01
Andhra Pradesh,U,Communist Party of India (Marxist-Leninist) Red Star,31143712,39405967,0,3216,0.01
Andhra Pradesh,U,Dalita Bahujana Party,31143712,39405967,0,4444,0.01
Andhra Pradesh,U,Hardam Manavtawadi Rashtriya Dal,31143712,39405967,0,447,
Andhra Pradesh,U,India Praja Bandhu Party,31143712,39405967,0,6937,0.02
Andhra Pradesh,U,Indian Labour Party (Ambedkar Phule),31143712,39405967,0,1017,
Andhra Pradesh,U,Jana Jagruti Party,31143712,39405967,0,11464,0.04
Andhra Pradesh,U,Janapaalana Party (Democratic),31143712,39405967,0,913,
Andhra Pradesh,U,Janasena Party,31143712,39405967,0,1829346,5.87
Andhra Pradesh,U,Marxist Communist Party of India (United),31143712,39405967,0,583,
Andhra Pradesh,U,Mundadugu Praja Party,31143712,39405967,0,7342,0.02
Andhra Pradesh,U,National Dalitha Dhal Party,31143712,39405967,0,628,
Andhra Pradesh,U,National Nava Kranthi Party,31143712,39405967,0,887,
Andhra Pradesh,U,Nava Samaj Party,31143712,39405967,0,4286,0.01
Andhra Pradesh,U,Navarang Congress Party,31143712,39405967,0,1489,
Andhra Pradesh,U,Navataram Party,31143712,39405967,0,1135,
Andhra Pradesh,U,Navodayam Party,31143712,39405967,0,1341,
Andhra Pradesh,U,Praja Shanthi Party,31143712,39405967,0,9738,0.03
Andhra Pradesh,U,Pyramid Party of India,31143712,39405967,0,27339,0.09
Andhra Pradesh,U,Radical Democrats,31143712,39405967,0,1220,
Andhra Pradesh,U,Rajyadhikara Party,31143712,39405967,0,368,
Andhra Pradesh,U,Rashtriya Krantikari Samajwadi Party,31143712,39405967,0,3460,0.01
Andhra Pradesh,U,Rashtriya Praja Congress  (Secular),31143712,39405967,0,996,
Andhra Pradesh,U,Rayalaseema Rashtra Samithi,31143712,39405967,0,1229,
Andhra Pradesh,U,Republican Party of India (A),31143712,39405967,0,8614,0.03
Andhra Pradesh,U,Republican Party of India (Khobragade),31143712,39405967,0,1804,0.01
Andhra Pradesh,U,Samaanya Praja Party,31143712,39405967,0,4983,0.02
Andhra Pradesh,U,Samajwadi Forward Bloc,31143712,39405967,0,2107,0.01
Andhra Pradesh,U,SOCIAL DEMOCRATIC PARTY OF INDIA,31143712,39405967,0,7293,0.02
Andhra Pradesh,U,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),31143712,39405967,0,2184,0.01
Andhra Pradesh,U,Viduthalai Chiruthaigal Katchi,31143712,39405967,0,4864,0.02
Andhra Pradesh,U,Vishwa Jana Party,31143712,39405967,0,1726,0.01
Andhra Pradesh,Z,Independent,31143712,39405967,0,248025,0.8
Andhra Pradesh,Z1,None of the Above,31143712,39405967,0,468822,1.51
Arunachal Pradesh,N,Bharatiya Janata Party,644627,803563,2,379679,58.9
Arunachal Pradesh,N,Indian National Congress,644627,803563,0,134888,20.92
Arunachal Pradesh,S,All India Forward Bloc,644627,803563,0,1921,0.3
Arunachal Pradesh,S,Janata Dal  (Secular),644627,803563,0,59878,9.29
Arunachal Pradesh,S,National People's Party,644627,803563,0,27119,4.21
Arunachal Pradesh,S,People's Party of Arunachal,644627,803563,0,27703,4.3
Arunachal Pradesh,Z,Independent,644627,803563,0,13439,2.08
Arunachal Pradesh,Z1,None of the Above,644627,803563,0,7464,1.16
Assam,N,All India Trinamool Congress,17807713,22050059,0,74522,0.42
Assam,N,Bharatiya Janata Party,17807713,22050059,9,6484596,36.41
Assam,N,Communist Party of India,17807713,22050059,0,31227,0.18
Assam,N,Communist Party of India  (Marxist),17807713,22050059,0,40937,0.23
Assam,N,Indian National Congress,17807713,22050059,3,6373659,35.79
Assam,N,Nationalist Congress Party,17807713,22050059,0,11010,0.06
Assam,S,All India Forward Bloc,17807713,22050059,0,5816,0.03
Assam,S,All India United Democratic Front,17807713,22050059,1,1402088,7.87
Assam,S,Asom Gana Parishad,17807713,22050059,0,1480697,8.31
Assam,S,Bodoland Peoples Front,17807713,22050059,0,446774,2.51
Assam,S,National People's Party,17807713,22050059,0,48689,0.27
Assam,S,Samajwadi Party,17807713,22050059,0,2383,0.01
Assam,U,Asom Jana Morcha,17807713,22050059,0,21678,0.12
Assam,U,Assam Dristi Party,17807713,22050059,0,8285,0.05
Assam,U,Autonomous State Demand Committee,17807713,22050059,0,36915,0.21
Assam,U,Bahujan Mukti Party,17807713,22050059,0,6933,0.04
Assam,U,Bharatiya Gana Parishad,17807713,22050059,0,13039,0.07
Assam,U,Bharatiya National Janta Dal,17807713,22050059,0,2072,0.01
Assam,U,Hindusthan Nirman Dal,17807713,22050059,0,22031,0.12
Assam,U,National Republican Congress,17807713,22050059,0,4278,0.02
Assam,U,Purvanchal Janta Party (Secular),17807713,22050059,0,22415,0.13
Assam,U,Republican Party of India (A),17807713,22050059,0,11250,0.06
Assam,U,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),17807713,22050059,0,16831,0.09
Assam,U,Swarna Bharat Party,17807713,22050059,0,4110,0.02
Assam,U,The National Road Map Party of India,17807713,22050059,0,3973,0.02
Assam,U,"United People’s Party, Liberal",17807713,22050059,0,416305,2.34
Assam,U,Voters Party  International,17807713,22050059,0,50355,0.28
Assam,Z,Independent,17807713,22050059,1,764845,4.3
Assam,Z1,None of the Above,17807713,22050059,0,178353,1
Bihar,N,All India Trinamool Congress,39989711,71216290,0,5483,0.01
Bihar,N,Bahujan Samaj Party,39989711,71216290,0,682428,1.71
Bihar,N,Bharatiya Janata Party,39989711,71216290,17,9619548,24.06
Bihar,N,Communist Party of India,39989711,71216290,0,280250,0.7
Bihar,N,Communist Party of India  (Marxist),39989711,71216290,0,27577,0.07
Bihar,N,Indian National Congress,39989711,71216290,1,3140797,7.85
Bihar,N,Nationalist Congress Party,39989711,71216290,0,38991,0.1
Bihar,S,Aam Aadmi Party,39989711,71216290,0,26147,0.07
Bihar,S,All India Forward Bloc,39989711,71216290,0,16454,0.04
Bihar,S,All India Majlis-E-Ittehadul Muslimeen,39989711,71216290,0,295029,0.74
Bihar,S,Jammu & Kashmir National Panthers Party,39989711,71216290,0,3545,0.01
Bihar,S,Janata Dal  (United),39989711,71216290,16,8902719,22.26
Bihar,S,Jharkhand Mukti Morcha,39989711,71216290,0,30853,0.08
Bihar,S,Lok Jan Shakti Party,39989711,71216290,6,3206979,8.02
Bihar,S,Rashtriya Janata Dal,39989711,71216290,0,6270769,15.68
Bihar,S,Rashtriya Lok Samta Party,39989711,71216290,0,1462518,3.66
Bihar,S,Samajwadi Party,39989711,71216290,0,2881,0.01
Bihar,S,Shivsena,39989711,71216290,0,64462,0.16
Bihar,U,Aadarsh Mithila Party,39989711,71216290,0,11311,0.03
Bihar,U,Aam Adhikar Morcha,39989711,71216290,0,32218,0.08
Bihar,U,Aam Janta Party Rashtriya,39989711,71216290,0,31017,0.08
Bihar,U,Aap Aur Hum Party,39989711,71216290,0,3434,0.01
Bihar,U,Akhil Bharatiya Jan Sangh,39989711,71216290,0,3597,0.01
Bihar,U,Akhil Bhartiya Apna Dal,39989711,71216290,0,4378,0.01
Bihar,U,Akhil Bhartiya Mithila Party,39989711,71216290,0,10127,0.03
