17 - State wise seat won and valid votes polled by political party,,,,,,,
STATE NAME,Party Type,Party Name,Total Valid Votes Polled in the State,Total Electors in the State,Seats Won,Total Valid Votes Polled by Party,% Valid Votes Polled by Party
Andhra Pradesh,N,Bharatiya Janata Party,33327256,41401887,3,3808941,11.43
Andhra Pradesh,N,Bahujan Samaj Party,33327256,41401887,0,226147,0.68
Andhra Pradesh,N,Communist Party of India (Marxist),33327256,41401887,0,123129,0.37
Andhra Pradesh,N,Indian National Congress,33327256,41401887,0,912142,2.74
Andhra Pradesh,S,Telugu Desam,33327256,41401887,16,12775270,38.33
Andhra Pradesh,S,Yuvajana Sramika Rythu Congress Party,33327256,41401887,4,13316134,39.96
Andhra Pradesh,U,Aihra National Party,33327256,41401887,0,1568,0
Andhra Pradesh,U,All India Forward Bloc,33327256,41401887,0,7973,0.02
Andhra Pradesh,U,All India Kisan Janatha party,33327256,41401887,0,578,0
Andhra Pradesh,U,All India Jaihind Party,33327256,41401887,0,269,0
Andhra Pradesh,U,All Peoples Party,33327256,41401887,0,1495,0
Andhra Pradesh,U,Ambedkar National Congress,33327256,41401887,0,688,0
Andhra Pradesh,U,Andhra Pradesh Rashtra Samithi,33327256,41401887,0,358,0
Andhra Pradesh,U,Andhra Rastra Praja Samithi,33327256,41401887,0,6846,0.02
Andhra Pradesh,U,Anna YSR Congress Party,33327256,41401887,0,4937,0.01
Andhra Pradesh,U,Bharatha Chaitanya Yuvajana Party,33327256,41401887,0,17173,0.05
Andhra Pradesh,U,Bharatheeya Jawan Kisan Party,33327256,41401887,0,732,0
Andhra Pradesh,U,Bharat Adivasi Party,33327256,41401887,0,6766,0.02
Andhra Pradesh,U,Bengaluru Nava Nirmana Party,33327256,41401887,0,461,0
Andhra Pradesh,U,Bhartiya Rashtriya Dal,33327256,41401887,0,767,0
Andhra Pradesh,U,Bhartiya Panchyat Party,33327256,41401887,0,494,0
Andhra Pradesh,U,Challengers Party,33327256,41401887,0,444,0
Andhra Pradesh,U,Communist Party of India,33327256,41401887,0,8637,0.03
Andhra Pradesh,U,Communist Party of India (Marxist-Leninist) (Liberation),33327256,41401887,0,2823,0.01
Andhra Pradesh,U,Dalita Bahujana Party,33327256,41401887,0,4505,0.01
Andhra Pradesh,U,Indian Believers Party (IBP),33327256,41401887,0,1239,0
Andhra Pradesh,U,Indian Labour Party (Ambedkar Phule),33327256,41401887,0,310,0
Andhra Pradesh,U,India Praja Bandhu Party,33327256,41401887,0,6324,0.02
Andhra Pradesh,U,Janata Congress,33327256,41401887,0,5425,0.02
Andhra Pradesh,U,Jai Bharat National Party,33327256,41401887,0,20245,0.06
Andhra Pradesh,U,Jaathia Chethi Vruthula Ikya Vedika Party,33327256,41401887,0,5568,0.02
Andhra Pradesh,U,Jai Hindustan Party,33327256,41401887,0,711,0
Andhra Pradesh,U,Jatiya Jana Sena Party,33327256,41401887,0,22935,0.07
Andhra Pradesh,U,Jai Maha Bharath Party,33327256,41401887,0,3337,0.01
Andhra Pradesh,U,Janasena Party,33327256,41401887,2,1454138,4.36
Andhra Pradesh,U,Jana Sahayaka Sakthi,33327256,41401887,0,1644,0
Andhra Pradesh,U,Jaibhim Rao Bharat Party,33327256,41401887,0,13892,0.04
Andhra Pradesh,U,Liberation Congress Party,33327256,41401887,0,8900,0.03
Andhra Pradesh,U,Loktantrik Janta Dal,33327256,41401887,0,316,0
Andhra Pradesh,U,Marxist Communist Party of India (United),33327256,41401887,0,312,0
Andhra Pradesh,U,Navataram Party,33327256,41401887,0,16864,0.05
Andhra Pradesh,U,Naba Bharata Nirmana Seva Party,33327256,41401887,0,2001,0.01
Andhra Pradesh,U,Neethi Nijayithi Party,33327256,41401887,0,430,0
Andhra Pradesh,U,National Maha Sabha Party,33327256,41401887,0,2833,0.01
Andhra Pradesh,U,National Nava Kranthi Party,33327256,41401887,0,1038,0
Andhra Pradesh,U,Navodayam Party,33327256,41401887,0,414,0
Andhra Pradesh,U,Navarang Congress Party,33327256,41401887,0,54529,0.16
Andhra Pradesh,U,Peoples Party of India (Democratic),33327256,41401887,0,505,0
Andhra Pradesh,U,Pyramid Party of India,33327256,41401887,0,15701,0.05
Andhra Pradesh,U,Praja Prasthanam Party,33327256,41401887,0,633,0
Andhra Pradesh,U,Praja Shanthi Party,33327256,41401887,0,7696,0.02
Andhra Pradesh,U,Rashtriya Praja Congress (Secular),33327256,41401887,0,8536,0.03
Andhra Pradesh,U,Republican Party of India,33327256,41401887,0,726,0
Andhra Pradesh,U,Republican Party of India (A),33327256,41401887,0,11425,0.03
