STATE NAME,PARTY TYPE,PARTY NAME,TOTAL VALID VOTES POLLED IN STATE,TOTAL ELECTORS IN STATE,SEATS WON,TOTAL VALID VOTES POLLED BY PARTY,% OF VALID VOTES POLLED BY PARTY,TOTAL SEATS IN STATE,% SEATS WON
Andaman & Nicobar Islands,N,Bharatiya Janata Party,188764,269360,1,90969,48.19,1,100.0
Andaman & Nicobar Islands,N,Bahujan Samaj Party,188764,269360,0,1139,0.6,1,0.0
Andaman & Nicobar Islands,N,Communist Party of India  (Marxist),188764,269360,0,1777,0.94,1,0.0
Andhra Pradesh,S,Telugu Desam,48026634,64934138,16,14099230,29.36,42,38.095238095238095
Andhra Pradesh,S,Telangana Rashtra Samithi,48026634,64934138,11,6736270,14.03,42,26.190476190476193
Andhra Pradesh,U,Unrecognised,48026634,64934138,10,15697868,0.73,42,23.809523809523807
Arunachal Pradesh,N,Bharatiya Janata Party,590635,759344,1,275344,46.62,2,50.0
Arunachal Pradesh,N,Indian National Congress,590635,759344,1,246084,41.66,2,50.0
Arunachal Pradesh,N,Nationalist Congress Party,590635,759344,0,6065,1.03,2,0.0
Assam,N,Bharatiya Janata Party,14938826,18837713,7,5507152,36.86,14,50.0
Assam,N,Indian National Congress,14938826,18837713,3,4467295,29.9,14,21.428571428571427
Assam,S,All India United Democratic Front,14938826,18837713,3,2237612,14.98,14,21.428571428571427
Bihar,N,Bharatiya Janata Party,35304368,63800160,22,10543025,29.86,40,55.00000000000001
Bihar,S,Lok Jan Shakti Party,35304368,63800160,6,2295929,6.5,40,15.0
Bihar,S,Rashtriya Janata Dal,35304368,63800160,4,7224893,20.46,40,10.0
Chandigarh,N,Bharatiya Janata Party,450349,615214,1,191362,42.49,1,100.0
Chandigarh,N,Bahujan Samaj Party,450349,615214,0,15934,3.54,1,0.0
Chandigarh,N,Indian National Congress,450349,615214,0,121720,27.03,1,0.0
Chhattisgarh,N,Bharatiya Janata Party,12030690,17664520,10,5973904,49.66,11,90.9090909090909
Chhattisgarh,N,Indian National Congress,12030690,17664520,1,4702813,39.09,11,9.090909090909092
Chhattisgarh,N,Bahujan Samaj Party,12030690,17664520,0,293910,2.44,11,0.0
Dadra & Nagar Haveli,N,Bharatiya Janata Party,162324,196597,1,80790,49.77,1,100.0
Dadra & Nagar Haveli,N,Bahujan Samaj Party,162324,196597,0,982,0.6,1,0.0
Dadra & Nagar Haveli,N,Indian National Congress,162324,196597,0,74576,45.94,1,0.0
Daman & Diu,N,Bharatiya Janata Party,85917,111827,1,46960,54.66,1,100.0
Daman & Diu,N,Bahujan Samaj Party,85917,111827,0,490,0.57,1,0.0
Daman & Diu,N,Indian National Congress,85917,111827,0,37738,43.92,1,0.0
Goa,N,Bharatiya Janata Party,806897,1060777,2,436679,54.12,2,100.0
Goa,N,Communist Party of India,806897,1060777,0,10077,1.25,2,0.0
Goa,N,Indian National Congress,806897,1060777,0,298750,37.02,2,0.0
Gujarat,N,Bharatiya Janata Party,25369118,40603104,26,15249243,60.11,26,100.0
Gujarat,N,Bahujan Samaj Party,25369118,40603104,0,243949,0.96,26,0.0
Gujarat,N,Communist Party of India,25369118,40603104,0,13270,0.05,26,0.0
Haryana,N,Bharatiya Janata Party,11460931,16097233,7,3993527,34.84,10,70.0
Haryana,S,Indian National Lok Dal,11460931,16097233,2,2799899,24.43,10,20.0
Haryana,N,Indian National Congress,11460931,16097233,1,2634905,22.99,10,10.0
Himachal Pradesh,N,Bharatiya Janata Party,3069345,4810071,4,1652995,53.85,4,100.0
Himachal Pradesh,N,Bahujan Samaj Party,3069345,4810071,0,22928,0.75,4,0.0
Himachal Pradesh,N,Communist Party of India  (Marxist),3069345,4810071,0,25399,0.83,4,0.0
Jammu & Kashmir,N,Bharatiya Janata Party,3535313,7183129,3,1154220,32.65,6,50.0
Jammu & Kashmir,S,Jammu & Kashmir Peoples Democratic Party,3535313,7183129,3,732644,20.72,6,50.0
Jammu & Kashmir,N,Bahujan Samaj Party,3535313,7183129,0,54091,1.53,6,0.0
Jharkhand,N,Bharatiya Janata Party,12792013,20349796,12,5207439,40.71,14,85.71428571428571
Jharkhand,S,Jharkhand Mukti Morcha,12792013,20349796,2,1205031,9.42,14,14.285714285714285
Jharkhand,N,Bahujan Samaj Party,12792013,20349796,0,140141,1.1,14,0.0
Karnataka,N,Bharatiya Janata Party,30780980,46209813,17,13350285,43.37,28,60.71428571428571
Karnataka,N,Indian National Congress,30780980,46209813,9,12666530,41.15,28,32.142857142857146
Karnataka,S,Janata Dal  (Secular),30780980,46209813,2,3406465,11.07,28,7.142857142857142
Kerala,N,Indian National Congress,17765332,24326650,8,5590285,31.47,19,42.10526315789473
Kerala,N,Communist Party of India  (Marxist),17765332,24326650,5,3880655,21.84,19,26.31578947368421
Kerala,S,Indian Union Muslim League,17765332,24326650,2,816226,4.59,19,10.526315789473683
Lakshadweep,N,Nationalist Congress Party,43116,49922,1,21665,50.25,1,100.0
Lakshadweep,N,Bharatiya Janata Party,43116,49922,0,187,0.43,1,0.0
Lakshadweep,N,Communist Party of India,43116,49922,0,181,0.42,1,0.0
Madhya Pradesh,N,Bharatiya Janata Party,29247970,48121301,27,16015695,54.76,29,93.10344827586206
Madhya Pradesh,N,Indian National Congress,29247970,48121301,2,10340274,35.35,29,6.896551724137931
Madhya Pradesh,N,Bahujan Samaj Party,29247970,48121301,0,1124772,3.85,29,0.0
Maharashtra,N,Bharatiya Janata Party,48284248,80798823,23,13308961,27.56,48,47.91666666666667
Maharashtra,S,Shivsena,48284248,80798823,18,10050652,20.82,48,37.5
Maharashtra,N,Nationalist Congress Party,48284248,80798823,4,7782275,16.12,48,8.333333333333332
Manipur,N,Indian National Congress,1405132,1774369,2,588872,41.91,2,100.0
Manipur,N,Bharatiya Janata Party,1405132,1774369,0,168272,11.98,2,0.0
Manipur,N,Communist Party of India,1405132,1774369,0,197428,14.05,2,0.0
Meghalaya,N,Indian National Congress,1047913,1567241,1,408925,39.02,2,50.0
Meghalaya,S,National Peoples Party,1047913,1567241,1,239301,22.84,2,50.0
Meghalaya,N,Bharatiya Janata Party,1047913,1567241,0,95979,9.16,2,0.0
Mizoram,N,Indian National Congress,426706,702170,1,210485,49.33,1,100.0
Mizoram,Z,Independent,426706,702170,0,204331,47.89,1,0.0
NCT OF Delhi,N,Bharatiya Janata Party,8232076,12711164,7,3838850,46.63,7,100.0
NCT OF Delhi,N,Bahujan Samaj Party,8232076,12711164,0,101609,1.23,7,0.0
NCT OF Delhi,N,Communist Party of India,8232076,12711164,0,4475,0.05,7,0.0
Nagaland,S,Naga Peoples Front,1036214,1182972,1,713372,68.84,1,100.0
Nagaland,N,Indian National Congress,1036214,1182972,0,313147,30.22,1,0.0
Nagaland,U,Unrecognised,1036214,1182972,0,9695,0.94,1,0.0
Odisha,S,Biju Janata Dal,21196117,29196045,20,9489946,44.77,21,95.23809523809523
Odisha,N,Bharatiya Janata Party,21196117,29196045,1,4638565,21.88,21,4.761904761904762
Odisha,N,Bahujan Samaj Party,21196117,29196045,0,218403,1.03,21,0.0
Puducherry,S,All India N.R. Congress,717749,901357,1,255826,35.64,1,100.0
Puducherry,N,Bahujan Samaj Party,717749,901357,0,2060,0.29,1,0.0
Puducherry,N,Communist Party of India,717749,901357,0,12709,1.77,1,0.0
Punjab,S,Shiromani Akali Dal,13786378,19608161,4,3636148,26.37,9,44.44444444444444
Punjab,N,Indian National Congress,13786378,19608161,3,4575879,33.19,9,33.33333333333333
Punjab,N,Bharatiya Janata Party,13786378,19608161,2,1209004,8.77,9,22.22222222222222
Rajasthan,N,Bharatiya Janata Party,26782731,42994657,25,14895106,55.61,25,100.0
Rajasthan,N,Bahujan Samaj Party,26782731,42994657,0,633786,2.37,25,0.0
